#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=webanno.custom.SentenceLink|referenceRelation|referenceType


#Text=Спрей ИРС 19, меня как то не впечатлил.
1-1	0-5	Спрей	*	Drugform	_	_	
1-2	6-9	ИРС	*[1]	Drugname[1]	_	_	
1-3	10-12	19	*[1]	Drugname[1]	_	_	
1-4	12-13	,	_	_	_	_	
1-5	14-18	меня	_	_	_	_	
1-6	19-22	как	_	_	_	_	
1-7	23-25	то	_	_	_	_	
1-8	26-28	не	_	_	_	_	
1-9	29-38	впечатлил	_	_	_	_	
1-10	38-39	.	_	_	_	_	

#Text=Нос не пробивает абсолютно !!!
2-1	40-43	Нос	_	_	*->1-1	INF[1]	
2-2	44-46	не	_	_	*->1-1	INF[1]	
2-3	47-56	пробивает	_	_	*->1-1	INF[1]	
2-4	57-66	абсолютно	_	_	*->1-1	INF[1]	
2-5	67-68	!	_	_	*->1-1	INF[1]	
2-6	68-69	!	_	_	*->1-1	INF[1]	
2-7	69-70	!	_	_	*->1-1	INF[1]	

#Text=А если и чудо образом проникает в глубь носа, то в горле появляется наипротивнейший.
3-1	71-72	А	_	_	_	_	
3-2	73-77	если	_	_	_	_	
3-3	78-79	и	_	_	_	_	
3-4	80-84	чудо	_	_	_	_	
3-5	85-92	образом	_	_	_	_	
3-6	93-102	проникает	_	_	_	_	
3-7	103-104	в	_	_	_	_	
3-8	105-110	глубь	_	_	_	_	
3-9	111-115	носа	_	_	_	_	
3-10	115-116	,	_	_	_	_	
3-11	117-119	то	_	_	_	_	
3-12	120-121	в	_	_	_	_	
3-13	122-127	горле	_	_	_	_	
3-14	128-138	появляется	_	_	_	_	
3-15	139-154	наипротивнейший	_	_	_	_	
3-16	154-155	.	_	_	_	_	

#Text=В общем сижу полный нос соплей в горле говня и смотрит на меня этот баллончик злощастный ( Общее впечатление : а меня не впечатлил
4-1	156-157	В	_	_	_	_	
4-2	158-163	общем	_	_	_	_	
4-3	164-168	сижу	_	_	_	_	
4-4	169-175	полный	_	_	_	_	
4-5	176-179	нос	*[2]	DI[2]	_	_	
4-6	180-186	соплей	*[2]	DI[2]	_	_	
4-7	187-188	в	*[3]	ADR[3]	_	_	
4-8	189-194	горле	*[3]	ADR[3]	_	_	
4-9	195-200	говня	*[3]	ADR[3]	_	_	
4-10	201-202	и	_	_	_	_	
4-11	203-210	смотрит	_	_	_	_	
4-12	211-213	на	_	_	_	_	
4-13	214-218	меня	_	_	_	_	
4-14	219-223	этот	_	_	_	_	
4-15	224-233	баллончик	_	_	_	_	
4-16	234-244	злощастный	_	_	_	_	
4-17	245-246	(	_	_	_	_	
4-18	247-252	Общее	_	_	_	_	
4-19	253-264	впечатление	_	_	_	_	
4-20	265-266	:	_	_	_	_	
4-21	267-268	а	_	_	_	_	
4-22	269-273	меня	_	_	_	_	
4-23	274-276	не	_	_	_	_	
4-24	277-286	впечатлил	_	_	_	_	
