132423-N-184745	жаропонижать средство
132423-N-199603	жаропонижающее
5660-N-113590	фармацевт
5660-N-113599	фармацевтический работник
9457-N-121613	кожный заболевание
9457-N-133774	болезнь кожа
9457-N-119820	кожный болезнь
9457-N-167629	дерматоз
9457-N-200031	заболевание кожа
136423-N-196867	диагност
6129-N-211915	заболевание сердечно -сосудистый система
6129-N-111792	сосудистый заболевание
6129-N-122050	сосудистый болезнь
6129-N-111460	сердечно-сосудистый заболевание
6129-N-182523	болезнь система кровообращение
6129-N-187201	болезнь система орган кровообращение
6129-N-116547	сердечно-сосудистый патология
109637-N-140924	криз
115084-N-109861	провизор
145293-N-691501	инфекция дыхательный путь
145293-N-691500	респираторный инфекция
116379-N-142471	морфинизм
9785-N-132850	акробатка
9785-N-121430	акробат
147116-N-711795	переворот через голова
9465-N-119763	невропатология
146540-N-677333	женский болезнь
7783-N-107584	нетрадициоть метод лечение
7783-N-684659	альтернативный метод лечение
7783-N-208504	нетрадициоть медицина
7783-N-684658	альтернативный медицина
5078-N-110227	психиатр
4089-N-113817	фитосанитарный надзор
4089-N-113813	фитосанитарный охрана
4089-N-113816	фитосанитарный контроль
133819-N-188633	болезнь костно -мышечный система
110638-N-141561	лихорадка
110638-N-729064	лихорадочный состояние
110638-N-181311	горячка
143712-N-677428	противораковый терапия
150611-N-732885	ринопластика
150611-N-732886	пластик нос
134290-N-189879	показатель фертильнодать
134290-N-189899	коэффициент фертильнодать
134290-N-189900	фертильность
9273-N-116901	военный медицина
150141-N-730679	рывок штанга
150141-N-152085	рывок
150141-N-730677	соревнование в рывок
150141-N-758971	упражнение рывок
150141-N-730680	в рывок
123591-N-692120	регистратура поликлиника
123591-N-692122	регистратура больница
123591-N-692121	регистратура клиника
123591-N-166846	регистратура
123591-N-692119	регистратура лечебный учреждение
123591-N-692118	регистратура медицинский учреждение
129918-N-759273	врач-травник
129918-N-199660	травник
129918-N-123197	фитотерапевт
146170-N-704893	санитарный ветеринарный мера
146170-N-704957	ветеринарный мера
146170-N-704956	ветеринарный мероприятие
146170-N-704892	ветеринарно санитарный мера
146170-N-704891	санитарный ветеринарный мероприятие
146170-N-120945	ветеринарно санитарный мероприятие
136540-N-197032	химиотерапия
154946-N-732928	расстройство сон
154946-N-735222	нарушение сон
9670-N-120668	грибковый заболевание
9670-N-678052	грибковый инфекция
9670-N-120670	микоз
8175-N-109572	предприятие медицинский промышленность
125041-N-120980	местный анестезия
125041-N-165820	замораживание
125041-N-120981	местный обезболиваний
125041-N-120979	местный анестетика
125041-N-182719	заморозка
2635-N-753521	употребление наркотик
2635-N-125353	потребление наркотик
2635-N-125365	наркотоксикомание
2635-N-182531	злоупотребление наркотик
2635-N-125332	наркозависимость
2635-N-202717	наркоманизация
2635-N-125361	наркотический зависимость
2635-N-107204	наркомания
2635-N-756702	зависимость от наркотик
2635-N-119091	злоупотребление наркотический средство
144833-N-716081	нейроциркуляторный дистония
144833-N-119732	дистония
144833-N-686857	вегето-сосудистый дистония
9076-N-117668	нарколог
148280-N-719461	подтягивание на турник
148280-N-751976	подтягивание на перекладина
148280-N-147814	подтягиваний
4654-N-121936	социальный психологический защита
4654-N-121937	социальный психологический мера
